state,year,dem_exp,rep_exp,votes_dem_perc,votes_gop_perc,white_pop,black_pop,other_pop
MS,2020,5.9271138200000015,3.9878734799999984,41.013307704356365,57.54080436260339,17.58081,11.24559,0.93509
MT,2012,11.215488619999995,0.0,41.708132547548,55.36480331947464,9.00098,0.0545,0.98235
MT,2016,0.2281728799999999,1.5197848099999998,35.745765337013005,56.16849744642933,9.27814,0.05935,1.0711
MT,2020,24.79560311,18.765422110000014,40.41040033016921,56.72340074288073,9.50211,0.06389,1.12178
NC,2012,7.145363640000001,7.67121633,48.35096857706757,50.39306410214295,70.0649,21.47706,5.9528
NC,2016,53.71212337000278,75.59424706000394,46.17286616820947,49.82809469618042,72.10675,22.5393,6.90183
NC,2020,4.73953135,4.96017505,48.586220571564475,49.934341526509286,73.99487,23.30563,7.58034
ND,2012,7.6483645299999985,9.954616349999998,38.69731088897972,58.315682558557214,6.30565,0.10805,0.59806
ND,2016,0.04632556,0.15100415000000006,27.22673945870601,62.95562783133929,6.62681,0.2222,0.69533
ND,2020,9.595879019999996,6.105730269999999,31.756762359080092,65.11404873707572,6.62555,0.25984,0.73523
NE,2012,1.5809321099999991,6.245708539999996,38.02731441792897,59.80319217904804,16.654,0.88904,0.98999
NE,2016,5.926924970000001,8.04946215,33.700353120813276,58.75013474502686,16.90996,0.96223,1.18397
NE,2020,0.3240270099999996,0.43214945,39.166794753962606,58.224406851258756,17.04129,1.00763,1.29516
NH,2012,7.100578190000001,8.809224940000005,51.982681863640785,46.4064726393982,12.49139,0.1815,0.56943
NH,2016,51.91008782,124.79518819,46.82626266969054,46.4586669819534,12.55396,0.2138,0.65531
NH,2020,1.5847115799999998,0.6670811799999998,52.822619743172176,45.45504270104298,12.66097,0.24371,0.69243
NJ,2012,2.08438823,2.39471999,58.377212597231214,40.58927141009568,65.29804,12.98354,10.16784
NJ,2016,4.744695729999998,8.070318870000001,55.4530844496942,41.350386650029456,64.47703,13.23504,10.9962
NJ,2020,17.45484656999999,30.73942601,57.14726720847354,41.26155670370976,63.88804,13.37457,11.55929
NM,2012,3.6401420200001104,4.357198450000055,52.992760520466774,42.84332663909013,17.3612,0.50201,3.00988
NM,2016,0.18877828,0.037491820000000016,48.2556471786341,40.04251433324273,17.21226,0.52473,3.17931
NM,2020,4.80280461,0.089048,54.28928584957222,43.49666924612946,17.16656,0.54772,3.25401
NV,2012,28.816599610000896,28.37038191000007,52.35624947040056,45.67531564126364,21.17644,2.43918,3.82434
NV,2016,61.151739379999974,62.97966275999993,47.91782367811904,45.50069531760242,21.9765,2.80959,4.38954
NV,2020,34.25815174,39.27458369000002,50.05678195728403,47.6662473245594,22.77552,3.16303,4.86301
NY,2012,21.06420413,23.895468560000023,61.23299242062186,31.48429075641557,139.30746,34.25285,22.16901
NY,2016,15.082582319999675,32.524851169999124,59.00282625847517,36.518183975504975,137.73337,34.53356,24.06735
NY,2020,9.95027739999999,19.84262142,60.86213129794382,37.722291890687366,135.46776,34.21123,24.85662
OH,2012,29.350211899999323,40.76471733999973,50.66674765831986,47.688440878422576,96.29012,14.43061,4.7685
OH,2016,31.290563129991547,22.797116239994914,43.55807627672003,51.68765067578619,95.83165,14.93613,5.57592
