state,year,dem_exp,rep_exp,votes_dem_perc,votes_gop_perc
ME,2020,2.9665746499999996,8.609404640000001,52.90055791776243,44.22776316759653
MI,2012,11.308920450000096,16.96514435999996,54.20820421051875,44.710916027420225
MI,2016,14.153529429998562,26.36064934999998,47.27453095086684,47.49756421999615
MI,2020,17.96394315000001,15.173649069999987,50.62081829082437,47.83729069113762
MN,2012,0.0,6.900551559999997,52.652303153246265,44.95820110666865
MN,2016,0.0,27.94143211000001,46.44491857377701,44.92478809350543
MN,2020,10.968180260000002,16.100276899999987,52.39509930974002,45.284942409169375
MO,2012,5.90142064000001,16.295036950000267,44.38366060859271,53.76395562054639
MO,2016,0.0,17.361971889999694,38.15185754979463,56.79710021546773
MO,2020,45.111666889999995,31.518001290000008,41.40878173618836,56.79965577888949
MS,2012,1.51649461,3.5536462700000007,43.78935954398935,55.285846743581125
MS,2016,0.0,10.10171745,40.1147882717841,57.94103808883564
MS,2020,5.927113820000001,3.9878734799999984,41.01330770435637,57.54080436260339
MT,2012,11.215488619999997,0.0,41.708132547548004,55.36480331947464
MT,2016,0.2281728799999999,1.5197848099999998,35.745765337013,56.16849744642933
MT,2020,24.79560311,18.76542211000001,40.41040033016921,56.72340074288073
NC,2012,7.145363640000001,7.67121633,48.350968577067555,50.39306410214295
NC,2016,53.71212337000277,75.59424706000394,46.172866168209474,49.828094696180415
NC,2020,4.73953135,4.96017505,48.586220571564475,49.93434152650928
ND,2012,7.648364529999999,9.954616349999998,38.69731088897972,58.31568255855722
ND,2016,0.04632556,0.15100415000000003,27.226739458706007,62.9556278313393
ND,2020,9.595879019999996,6.105730269999999,31.756762359080092,65.11404873707572
NE,2012,1.5809321099999993,6.245708539999996,38.02731441792897,59.80319217904804
NE,2016,5.926924970000001,8.04946215,33.70035312081328,58.75013474502687
NE,2020,0.3240270099999996,0.43214945,39.166794753962606,58.224406851258756
NH,2012,7.100578190000001,8.809224940000005,51.98268186364078,46.406472639398196
NH,2016,51.91008782,124.79518819,46.82626266969055,46.458666981953414
NH,2020,1.5847115799999998,0.6670811799999998,52.82261974317218,45.45504270104298
NJ,2012,2.08438823,2.3947199899999996,58.377212597231214,40.58927141009568
NJ,2016,4.744695729999998,8.070318870000001,55.453084449694195,41.35038665002945
NJ,2020,17.45484656999999,30.73942601,57.14726720847354,41.26155670370976
NM,2012,3.6401420200001104,4.357198450000055,52.992760520466774,42.84332663909013
NM,2016,0.18877828,0.03749182000000001,48.255647178634106,40.04251433324273
NM,2020,4.80280461,0.089048,54.289285849572224,43.49666924612945
NV,2012,28.8165996100009,28.37038191000007,52.35624947040056,45.67531564126363
NV,2016,61.151739379999974,62.97966275999994,47.91782367811904,45.50069531760242
NV,2020,34.25815174,39.27458369000002,50.05678195728403,47.66624732455941
NY,2012,21.064204129999997,23.895468560000026,61.232992420621855,31.484290756415568
NY,2016,15.082582319999675,32.52485116999913,59.002826258475174,36.51818397550498
NY,2020,9.95027739999999,19.842621419999997,60.86213129794382,37.72229189068737
OH,2012,29.350211899999323,40.76471733999973,50.66674765831987,47.68844087842257
OH,2016,31.290563129991543,22.797116239994907,43.55807627672002,51.68765067578619
OH,2020,9.450605050000084,7.212554770000001,45.239338340705025,53.27130010087464
OK,2012,0.0,2.1578082799999994,33.22768025698344,66.77231974301655
OK,2016,0.07995272000000002,2.7532383600000006,28.931680284543894,65.32286481962736
OK,2020,0.42966375,0.8000203100000001,32.28617433598663,65.37327184806296
OR,2012,1.8240179700000005,3.7504346399999995,54.23932665276901,42.14987117651333
OR,2016,2.25303692,2.4296615200000007,50.07185200286209,39.094035184496754
OR,2020,0.04676348,0.0,56.453318654048886,40.367246046343354
PA,2012,27.289406559999232,27.015404280000112,52.0768577021407,46.68086603367444
PA,2016,69.53449497001711,72.73653352000612,47.85361616456285,48.577885803746014
PA,2020,20.16759469000022,14.82234557000003,49.960947286417614,48.7817849306632
RI,2012,0.49702283999999997,0.6143471200000001,62.687253628407134,35.25786425976905
RI,2016,0.0,0.0,54.354618744281595,38.94772731196161
RI,2020,0.0,0.155,59.29900868154064,38.6993762381798
SC,2012,2.2107662199999996,23.63681613,44.08803340736147,54.56113125586141
SC,2016,1.6955956799999998,19.183089789999993,40.67341978966509,54.939332685695426
SC,2020,0.7235039500000002,3.791134190000001,43.430088142061784,55.11029395674024
SD,2012,1.2987237699999998,0.50272488,39.86614075835246,57.88931187554114
SD,2016,2.0016005999999997,2.2996677500000007,31.737428159948987,61.5307503789588
SD,2020,0.0,0.41995720000000003,35.60525213613529,61.769389672250234
TN,2012,2.1624595200000005,5.104250780000001,39.07581499379519,59.47871471993759
TN,2016,0.0,2.4760649,34.71633279865009,60.722033694214616
TN,2020,28.010638879999995,26.439892980000028,37.4514342710237,60.66029416628382
TX,2012,4.384836670000001,20.583037970000024,41.383358283760856,57.16697746805639
TX,2016,6.7945926399999985,12.756627670000002,43.23525798101196,52.234685579335384
TX,2020,22.56177637999997,31.77707845000003,46.46728534974343,52.044471811096585
UT,2012,0.49809376000000005,5.536518019999997,24.74966582796037,72.7905331026891
UT,2016,0.0,2.642705149999999,27.4587027036582,45.53803593682331
UT,2020,0.08279547,3.2126368199999966,37.64604858330606,58.129839029919594
VA,2012,30.655582489999563,24.360074469999596,51.15645679621864,47.28310289638912
VA,2016,8.892173500000004,12.378509369999998,49.72789199301015,44.40669663012711
VA,2020,12.494691310000002,14.57112654,54.10951717780243,43.99550366728214
VT,2012,0.0,0.0,66.5705503023823,30.97263523672692
VT,2016,0.0,0.0,56.675987139651575,30.268474055548328
VT,2020,0.07726206,0.0,66.08641693066397,30.67376465593259
WA,2012,11.755252870000003,12.731143389999989,56.16339829967276,41.29462143210913
WA,2016,0.0,0.3823829300000001,54.30357713757948,38.06997601281809
WA,2020,8.851788260000015,9.647713610000004,57.97030113530307,38.76697774334327
WI,2012,20.539207699999846,35.04065371999994,52.77616253515459,45.938346713619765
WI,2016,0.0,14.310570140000001,46.43607853205558,47.196121452284515
WI,2020,12.84334952,10.591583120000001,49.45401643500603,48.8290300823206
WV,2012,7.705703980000002,7.1747049600000015,35.53919813853589,62.295656583736054
WV,2016,6.7020227899999965,6.2844318699999935,26.47692801777152,68.63057481161937
WV,2020,19.086103220000012,18.475528230000016,29.696521244519612,68.63155192461606
WY,2012,0.0,0.0,27.818887742360307,68.64262168705659
WY,2016,0.0,0.25368707,21.877357347497938,68.17263307654125
WY,2020,0.0,0.07801487,26.553574332014524,69.9362274854118
