FIPS,state,year,votes_dem,votes_gop,total_votes,pop,white_pop,black_pop,asian_pop,indian_pop,pacific_pop,two_pop,not_hisp_pop,hisp_pop
1093.0,Alabama,2016,1432.0,11274.0,12984,29960.0,28217.0,1141.0,97.0,121.0,18.0,366.0,29185.0,775.0
1095.0,Alabama,2012,6299.0,25867.0,32566,94260.0,88765.0,2088.0,628.0,1029.0,252.0,1498.0,82368.0,11892.0
1095.0,Alabama,2016,4917.0,29233.0,35316,95113.0,88765.0,2692.0,673.0,1011.0,231.0,1741.0,82175.0,12938.0
1097.0,Alabama,2012,78760.0,94893.0,174864,413816.0,250254.0,145514.0,7973.0,3968.0,229.0,5878.0,403477.0,10339.0
1097.0,Alabama,2016,72186.0,95116.0,172737,414945.0,247360.0,148356.0,8470.0,3968.0,204.0,6587.0,403104.0,11841.0
1099.0,Alabama,2012,4914.0,5741.0,10708,22581.0,12534.0,9361.0,80.0,274.0,9.0,323.0,22339.0,242.0
1099.0,Alabama,2016,4332.0,5795.0,10271,21548.0,11956.0,8847.0,95.0,277.0,8.0,365.0,21259.0,289.0
1101.0,Alabama,2012,63085.0,38332.0,101924,228874.0,91155.0,128374.0,5466.0,760.0,244.0,2875.0,221162.0,7712.0
1101.0,Alabama,2016,58916.0,34003.0,95878,227170.0,84616.0,131565.0,6801.0,782.0,222.0,3184.0,219333.0,7837.0
1103.0,Alabama,2012,13439.0,35391.0,49323,120102.0,100909.0,14719.0,816.0,1279.0,169.0,2210.0,110881.0,9221.0
1103.0,Alabama,2016,11254.0,37486.0,50644,119006.0,99092.0,15224.0,815.0,1278.0,166.0,2431.0,109250.0,9756.0
1105.0,Alabama,2012,4568.0,1506.0,6099,10163.0,3073.0,6969.0,40.0,22.0,5.0,54.0,10029.0,134.0
1105.0,Alabama,2016,3824.0,1407.0,5278,9532.0,2906.0,6488.0,52.0,23.0,5.0,58.0,9381.0,151.0
1107.0,Alabama,2012,4455.0,5124.0,9611,19309.0,10976.0,8014.0,49.0,31.0,67.0,172.0,18966.0,343.0
1107.0,Alabama,2016,3972.0,5456.0,9542,20325.0,11708.0,8253.0,62.0,48.0,65.0,189.0,19385.0,940.0
1109.0,Alabama,2012,6035.0,7963.0,14107,33215.0,19397.0,12360.0,700.0,209.0,32.0,517.0,32478.0,737.0
1109.0,Alabama,2016,5056.0,7693.0,13168,33464.0,19293.0,12560.0,722.0,231.0,29.0,629.0,32744.0,720.0
1111.0,Alabama,2012,3078.0,7224.0,10398,22533.0,17658.0,4415.0,76.0,85.0,13.0,286.0,21880.0,653.0
1111.0,Alabama,2016,2291.0,7705.0,10187,22504.0,17537.0,4423.0,95.0,91.0,17.0,341.0,21839.0,665.0
1113.0,Alabama,2012,10500.0,8278.0,18879,57500.0,31202.0,24189.0,412.0,301.0,149.0,1247.0,54867.0,2633.0
1113.0,Alabama,2016,9579.0,9210.0,19256,58185.0,29668.0,26143.0,486.0,321.0,160.0,1407.0,55073.0,3112.0
1115.0,Alabama,2012,5801.0,29031.0,35148,84761.0,75273.0,7466.0,609.0,294.0,55.0,1064.0,82938.0,1823.0
1115.0,Alabama,2016,5589.0,31651.0,38400,87306.0,77050.0,8015.0,713.0,324.0,58.0,1146.0,85222.0,2084.0
1117.0,Alabama,2012,20051.0,71436.0,92507,200912.0,170570.0,22812.0,4161.0,793.0,102.0,2474.0,189215.0,11697.0
1117.0,Alabama,2016,22977.0,73020.0,101254,211282.0,176850.0,26001.0,4588.0,840.0,120.0,2883.0,199226.0,12056.0
1119.0,Alabama,2012,5421.0,1586.0,7027,13440.0,3366.0,9899.0,96.0,16.0,3.0,60.0,13313.0,127.0
1119.0,Alabama,2016,4746.0,1581.0,6411,12967.0,3302.0,9384.0,191.0,14.0,4.0,72.0,12836.0,131.0
1121.0,Alabama,2012,13905.0,19246.0,33373,82146.0,53855.0,26454.0,405.0,307.0,15.0,1110.0,80417.0,1729.0
1121.0,Alabama,2016,12121.0,20614.0,33407,80552.0,52216.0,26244.0,486.0,321.0,15.0,1270.0,78772.0,1780.0
1123.0,Alabama,2012,6319.0,12396.0,18829,41048.0,29232.0,10980.0,206.0,144.0,15.0,471.0,40027.0,1021.0
1123.0,Alabama,2016,5519.0,13594.0,19486,40586.0,28732.0,10944.0,222.0,173.0,18.0,497.0,39604.0,982.0
1125.0,Alabama,2012,32048.0,45748.0,78590,198807.0,133002.0,60284.0,2727.0,642.0,131.0,2021.0,192537.0,6270.0
1125.0,Alabama,2016,31762.0,47723.0,82700,206464.0,134373.0,65484.0,3282.0,722.0,115.0,2488.0,199002.0,7462.0
1127.0,Alabama,2012,6557.0,21651.0,28521,66104.0,60663.0,3960.0,264.0,284.0,66.0,867.0,64714.0,1390.0
1127.0,Alabama,2016,4497.0,24266.0,29472,64533.0,58775.0,3991.0,348.0,362.0,69.0,988.0,62984.0,1549.0
1129.0,Alabama,2012,2976.0,5761.0,8778,17146.0,11370.0,4186.0,57.0,1331.0,14.0,188.0,16936.0,210.0
1129.0,Alabama,2016,2374.0,6042.0,8533,16621.0,10958.0,3986.0,138.0,1294.0,17.0,228.0,16385.0,236.0
1131.0,Alabama,2012,4868.0,1679.0,6551,11302.0,3085.0,8131.0,9.0,16.0,2.0,59.0,11216.0,86.0
1131.0,Alabama,2016,4339.0,1737.0,6118,10844.0,2979.0,7729.0,26.0,24.0,2.0,84.0,10709.0,135.0
1133.0,Alabama,2012,1286.0,8312.0,9714,24193.0,23433.0,149.0,71.0,192.0,47.0,301.0,23510.0,683.0
1133.0,Alabama,2016,872.0,9228.0,10313,23907.0,23038.0,186.0,88.0,201.0,48.0,346.0,23175.0,732.0
2013.0,Alaska,2012,2425.0,3078.0,5707,3294.0,785.0,274.0,1322.0,774.0,23.0,116.0,2873.0,421.0
2013.0,Alaska,2016,1684.0,4028.0,6533,3363.0,750.0,320.0,1454.0,695.0,29.0,115.0,2889.0,474.0
2016.0,Alaska,2012,4013.0,2876.0,7181,5676.0,2231.0,376.0,1856.0,812.0,137.0,264.0,4901.0,775.0
2016.0,Alaska,2016,3294.0,3203.0,7436,5705.0,1968.0,402.0,2251.0,711.0,135.0,238.0,4910.0,795.0
2020.0,Alaska,2012,3081.0,4544.0,7964,298255.0,200035.0,17897.0,25960.0,24674.0,6715.0,22974.0,273722.0,24533.0
2020.0,Alaska,2016,4151.0,2187.0,7140,297249.0,193492.0,17958.0,28245.0,25926.0,7660.0,23968.0,270341.0,26908.0
4001.0,Arizona,2012,17147.0,8250.0,25848,72229.0,16920.0,267.0,298.0,53548.0,22.0,1174.0,67974.0,4255.0
4001.0,Arizona,2016,17083.0,8240.0,27661,71381.0,16040.0,367.0,309.0,53488.0,30.0,1147.0,66997.0,4384.0
4003.0,Arizona,2012,18546.0,29497.0,49003,132017.0,116451.0,6142.0,2814.0,2150.0,474.0,3986.0,87754.0,44263.0
4003.0,Arizona,2016,17450.0,28092.0,50015,125686.0,110701.0,5757.0,2741.0,2124.0,488.0,3875.0,81232.0,44454.0
4005.0,Arizona,2012,29257.0,21220.0,51731,136146.0,90095.0,1845.0,2243.0,38190.0,249.0,3524.0,117636.0,18510.0
4005.0,Arizona,2016,32404.0,21108.0,59784,140407.0,92585.0,1965.0,2729.0,38983.0,239.0,3906.0,120722.0,19685.0
4007.0,Arizona,2012,7697.0,13455.0,21528,52994.0,42979.0,333.0,339.0,8524.0,58.0,761.0,43317.0,9677.0
4007.0,Arizona,2016,7003.0,14182.0,36697,53356.0,42219.0,395.0,491.0,9312.0,72.0,867.0,43401.0,9955.0
4009.0,Arizona,2012,3609.0,8076.0,11855,37015.0,30130.0,717.0,231.0,5257.0,75.0,605.0,25454.0,11561.0
4009.0,Arizona,2016,3301.0,8025.0,20306,37807.0,30713.0,745.0,253.0,5298.0,75.0,723.0,25357.0,12450.0
4011.0,Arizona,2012,1310.0,1592.0,2974,8764.0,8090.0,139.0,62.0,285.0,8.0,180.0,4656.0,4108.0
4011.0,Arizona,2016,1092.0,1892.0,5192,9643.0,8744.0,198.0,87.0,357.0,13.0,244.0,5210.0,4433.0
4012.0,Arizona,2012,1880.0,3714.0,5717,20521.0,16066.0,200.0,143.0,3506.0,20.0,586.0,15418.0,5103.0
4012.0,Arizona,2016,1575.0,4003.0,5951,20648.0,15836.0,255.0,181.0,3752.0,21.0,603.0,15063.0,5585.0
4013.0,Arizona,2012,602288.0,749885.0,1376558,3947505.0,3352716.0,220092.0,156182.0,105036.0,10569.0,102910.0,2767875.0,1179630.0
4013.0,Arizona,2016,702907.0,747361.0,1567834,4256143.0,3557016.0,257020.0,189269.0,118511.0,11853.0,122474.0,2947370.0,1308773.0
4015.0,Arizona,2012,19533.0,49168.0,70010,203347.0,188420.0,2344.0,2246.0,5696.0,424.0,4217.0,172304.0,31043.0
4015.0,Arizona,2016,17455.0,58282.0,79943,205412.0,189163.0,2433.0,2473.0,6119.0,475.0,4749.0,172121.0,33291.0
4017.0,Arizona,2012,16945.0,19884.0,37335,107313.0,54998.0,1014.0,637.0,48486.0,97.0,2081.0,95733.0,11580.0
4017.0,Arizona,2016,16459.0,20577.0,40294,108467.0,54336.0,1054.0,742.0,49993.0,127.0,2215.0,96087.0,12380.0
4019.0,Arizona,2012,201251.0,174779.0,382250,993052.0,852604.0,39812.0,29749.0,41805.0,2228.0,26854.0,641510.0,351542.0
4019.0,Arizona,2016,224661.0,167428.0,421640,1016707.0,865785.0,41832.0,33238.0,44016.0,2373.0,29463.0,640724.0,375983.0
4021.0,Arizona,2012,44306.0,62079.0,108315,382251.0,318719.0,18229.0,7162.0,26074.0,1736.0,10331.0,271080.0,111171.0
4021.0,Arizona,2016,47892.0,72819.0,129546,417193.0,346511.0,21004.0,7995.0,28037.0,1704.0,11942.0,292931.0,124262.0
4023.0,Arizona,2012,9486.0,4235.0,13894,47359.0,45802.0,347.0,305.0,568.0,46.0,291.0,7974.0,39385.0
4023.0,Arizona,2016,11690.0,3897.0,16433,46400.0,44519.0,403.0,360.0,624.0,61.0,433.0,7635.0,38765.0
4025.0,Arizona,2012,33918.0,64468.0,100283,211990.0,199274.0,1561.0,1993.0,4490.0,292.0,4380.0,182550.0,29440.0
4025.0,Arizona,2016,35590.0,71330.0,114450,224575.0,210115.0,1978.0,2496.0,4775.0,312.0,4899.0,192093.0,32482.0
4027.0,Arizona,2012,18059.0,23352.0,41953,202475.0,185596.0,5219.0,2972.0,4347.0,471.0,3870.0,79190.0,123285.0
4027.0,Arizona,2016,24605.0,25165.0,53010,207247.0,189339.0,5532.0,3178.0,4670.0,513.0,4015.0,76137.0,131110.0
5001.0,Arkansas,2012,2455.0,3897.0,6494,18964.0,13837.0,4678.0,137.0,62.0,2.0,248.0,18374.0,590.0
5001.0,Arkansas,2016,1939.0,3826.0,6212,18154.0,13191.0,4463.0,138.0,63.0,4.0,295.0,17594.0,560.0
5003.0,Arkansas,2012,2859.0,4867.0,7921,21515.0,15496.0,5552.0,55.0,146.0,18.0,248.0,20398.0,1117.0
5003.0,Arkansas,2016,2408.0,5338.0,8083,20530.0,14839.0,5196.0,54.0,140.0,19.0,282.0,19449.0,1081.0
5005.0,Arkansas,2012,5172.0,13688.0,19339,41080.0,39940.0,93.0,200.0,276.0,19.0,552.0,40314.0,766.0
5005.0,Arkansas,2016,4169.0,14682.0,19766,41131.0,39822.0,134.0,224.0,293.0,19.0,639.0,40200.0,931.0
5007.0,Arkansas,2012,22636.0,54646.0,79257,234938.0,211914.0,3879.0,8493.0,4529.0,981.0,5142.0,197862.0,37076.0
5007.0,Arkansas,2016,28005.0,60871.0,96824,259212.0,230768.0,4954.0,10557.0,4985.0,1552.0,6396.0,216854.0,42358.0
5009.0,Arkansas,2012,3772.0,11159.0,15391,37333.0,36074.0,118.0,181.0,285.0,22.0,653.0,36505.0,828.0
5009.0,Arkansas,2016,2926.0,12235.0,16111,37259.0,35851.0,147.0,214.0,315.0,29.0,703.0,36357.0,902.0
5011.0,Arkansas,2012,1449.0,2134.0,3652,11266.0,7784.0,3112.0,41.0,180.0,2.0,147.0,9742.0,1524.0
5011.0,Arkansas,2016,1317.0,2164.0,3653,10959.0,7521.0,3056.0,48.0,164.0,5.0,165.0,9292.0,1667.0
5013.0,Arkansas,2012,660.0,1458.0,2174,5278.0,4030.0,1137.0,14.0,24.0,1.0,72.0,5095.0,183.0
5013.0,Arkansas,2016,639.0,1556.0,2269,5143.0,3899.0,1111.0,12.0,31.0,1.0,89.0,4948.0,195.0
5015.0,Arkansas,2012,3696.0,6125.0,10183,27623.0,26325.0,160.0,198.0,337.0,94.0,509.0,23715.0,3908.0
5015.0,Arkansas,2016,3342.0,6786.0,10758,27728.0,26009.0,219.0,289.0,360.0,280.0,571.0,23613.0,4115.0
5017.0,Arkansas,2012,2649.0,1670.0,4361,11498.0,4968.0,6335.0,63.0,44.0,4.0,84.0,10932.0,566.0
5017.0,Arkansas,2016,2350.0,1716.0,4176,10899.0,4675.0,5994.0,72.0,49.0,4.0,105.0,10313.0,586.0
5019.0,Arkansas,2012,3811.0,4343.0,8409,22755.0,16671.0,5485.0,152.0,131.0,7.0,309.0,21790.0,965.0
5019.0,Arkansas,2016,3620.0,4404.0,8526,22602.0,16449.0,5464.0,155.0,145.0,14.0,375.0,21508.0,1094.0
5021.0,Arkansas,2012,1738.0,3225.0,5110,15710.0,15366.0,80.0,28.0,57.0,1.0,178.0,15440.0,270.0
5021.0,Arkansas,2016,1199.0,3781.0,5200,15060.0,14659.0,107.0,22.0,68.0,4.0,200.0,14765.0,295.0
5023.0,Arkansas,2012,2620.0,8693.0,11647,25763.0,25026.0,104.0,66.0,198.0,7.0,362.0,25157.0,606.0
5023.0,Arkansas,2016,2101.0,9458.0,12085,25173.0,24357.0,116.0,121.0,183.0,8.0,388.0,24582.0,591.0
5025.0,Arkansas,2012,845.0,2313.0,3266,8609.0,7458.0,1024.0,10.0,28.0,3.0,86.0,8446.0,163.0
5025.0,Arkansas,2016,723.0,2462.0,3354,8245.0,7140.0,936.0,13.0,39.0,3.0,114.0,8064.0,181.0
5027.0,Arkansas,2012,3557.0,5790.0,9455,24413.0,14889.0,8925.0,230.0,106.0,6.0,257.0,23830.0,583.0
